2022年-05月-09日 12:31:40.644 ERROR [restartedMain] o.s.c.l.LoggingRebinder - Cannot set level: debu for 'net.mw'
2022年-05月-09日 12:31:40.669 INFO  [restartedMain] n.m.s.ProviderUserApplication - The following profiles are active: dev
2022年-05月-09日 12:31:57.342 WARN  [restartedMain] o.s.b.a.e.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2022年-05月-09日 12:31:58.427 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'dormitoryDao' and 'net.mw.springcloud.dao.DormitoryDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:31:58.430 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'dormitoryUserDao' and 'net.mw.springcloud.dao.DormitoryUserDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:31:58.431 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'noteDao' and 'net.mw.springcloud.dao.NoteDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:31:58.446 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'roleOtherDao' and 'net.mw.springcloud.dao.RoleOtherDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:31:58.447 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'vindicateDao' and 'net.mw.springcloud.dao.VindicateDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:31:58.448 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'actionPowerDao' and 'net.mw.springcloud.dao.ActionPowerDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:31:58.448 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'roleDao' and 'net.mw.springcloud.dao.RoleDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:31:58.449 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userDao' and 'net.mw.springcloud.dao.UserDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:31:58.449 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userRoleMapDao' and 'net.mw.springcloud.dao.UserRoleMapDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:31:58.450 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - No MyBatis mapper was found in '[net.mw.springcloud.dao]' package. Please check your configuration.
2022年-05月-09日 12:31:59.341 INFO  [restartedMain] o.s.c.c.s.GenericScope - BeanFactory id=3267e8e7-fd05-30be-819d-778889768df0
2022年-05月-09日 12:32:04.658 INFO  [restartedMain] o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022年-05月-09日 12:32:04.697 INFO  [restartedMain] o.a.c.c.StandardService - Starting service [Tomcat]
2022年-05月-09日 12:32:04.697 INFO  [restartedMain] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2022年-05月-09日 12:32:05.391 INFO  [restartedMain] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2022年-05月-09日 12:32:05.392 INFO  [restartedMain] o.s.w.c.ContextLoader - Root WebApplicationContext: initialization completed in 24619 ms
2022年-05月-09日 12:32:05.947 WARN  [restartedMain] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2022年-05月-09日 12:32:05.947 INFO  [restartedMain] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022年-05月-09日 12:32:05.989 INFO  [restartedMain] c.n.c.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@2b407f2c
2022年-05月-09日 12:32:15.603 INFO  [restartedMain] o.s.b.w.s.RegistrationBean - Filter jwtAuthenticationTokenFilter was not registered (disabled)
2022年-05月-09日 12:32:29.947 INFO  [restartedMain] o.s.s.w.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4485b226, org.springframework.security.web.context.SecurityContextPersistenceFilter@7e86f72e, org.springframework.security.web.header.HeaderWriterFilter@b686b1f, org.springframework.security.web.authentication.logout.LogoutFilter@c6afb9e, net.mw.springcloud.config.jwt.JwtAuthenticationTokenFilter@49dbb242, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2528a6a8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@11d5da8b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7ed47655, org.springframework.security.web.session.SessionManagementFilter@63040881, org.springframework.security.web.access.ExceptionTranslationFilter@519aa168, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5da4d1c5]
2022年-05月-09日 12:32:29.974 WARN  [restartedMain] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2022年-05月-09日 12:32:29.975 INFO  [restartedMain] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022年-05月-09日 12:32:30.308 INFO  [restartedMain] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022年-05月-09日 12:32:31.345 WARN  [restartedMain] o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
2022年-05月-09日 12:32:34.680 INFO  [restartedMain] o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses Jersey
2022年-05月-09日 12:32:34.734 WARN  [restartedMain] o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2022年-05月-09日 12:32:34.953 INFO  [restartedMain] o.s.b.a.e.w.EndpointLinksResolver - Exposing 18 endpoint(s) beneath base path '/actuator'
2022年-05月-09日 12:32:35.288 INFO  [restartedMain] o.s.c.n.e.InstanceInfoFactory - Setting initial instance status as: STARTING
2022年-05月-09日 12:32:35.375 INFO  [restartedMain] c.n.d.DiscoveryClient - Initializing Eureka in region us-east-1
2022年-05月-09日 12:32:35.765 INFO  [restartedMain] c.n.d.p.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2022年-05月-09日 12:32:35.766 INFO  [restartedMain] c.n.d.p.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2022年-05月-09日 12:32:36.103 INFO  [restartedMain] c.n.d.p.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2022年-05月-09日 12:32:36.105 INFO  [restartedMain] c.n.d.p.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2022年-05月-09日 12:32:36.873 INFO  [restartedMain] c.n.d.s.r.a.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022年-05月-09日 12:32:39.032 INFO  [restartedMain] c.n.d.DiscoveryClient - Disable delta property : false
2022年-05月-09日 12:32:39.033 INFO  [restartedMain] c.n.d.DiscoveryClient - Single vip registry refresh property : null
2022年-05月-09日 12:32:39.033 INFO  [restartedMain] c.n.d.DiscoveryClient - Force full registry fetch : false
2022年-05月-09日 12:32:39.034 INFO  [restartedMain] c.n.d.DiscoveryClient - Application is null : false
2022年-05月-09日 12:32:39.034 INFO  [restartedMain] c.n.d.DiscoveryClient - Registered Applications size is zero : true
2022年-05月-09日 12:32:39.034 INFO  [restartedMain] c.n.d.DiscoveryClient - Application version is -1: true
2022年-05月-09日 12:32:39.035 INFO  [restartedMain] c.n.d.DiscoveryClient - Getting all instance registry info from the eureka server
2022年-05月-09日 12:32:39.270 INFO  [restartedMain] c.n.d.DiscoveryClient - The response status is 200
2022年-05月-09日 12:32:39.276 INFO  [restartedMain] c.n.d.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2022年-05月-09日 12:32:39.284 INFO  [restartedMain] c.n.d.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2022年-05月-09日 12:32:39.291 INFO  [restartedMain] c.n.d.DiscoveryClient - Discovery Client initialized at timestamp 1652070759289 with initial instances count: 2
2022年-05月-09日 12:32:39.301 INFO  [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry - Registering application PROVIDER-USER with eureka with status UP
2022年-05月-09日 12:32:39.303 INFO  [restartedMain] c.n.d.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1652070759303, current=UP, previous=STARTING]
2022年-05月-09日 12:32:39.310 INFO  [DiscoveryClient-InstanceInfoReplicator-0] c.n.d.DiscoveryClient - DiscoveryClient_PROVIDER-USER/provider-user: registering service...
2022年-05月-09日 12:32:39.443 INFO  [DiscoveryClient-InstanceInfoReplicator-0] c.n.d.DiscoveryClient - DiscoveryClient_PROVIDER-USER/provider-user - registration status: 204
2022年-05月-09日 12:32:39.704 INFO  [restartedMain] c.a.d.p.DruidDataSource - {dataSource-1} inited
2022年-05月-09日 12:32:41.286 INFO  [restartedMain] n.m.s.i.ContextRefreshedListener - 正在注入ActionPower数据!
2022年-05月-09日 12:32:41.395 INFO  [restartedMain] o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2022年-05月-09日 12:32:41.400 INFO  [restartedMain] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8081
2022年-05月-09日 12:32:44.559 INFO  [restartedMain] n.m.s.ProviderUserApplication - Started ProviderUserApplication in 102.375 seconds (JVM running for 117.677)
2022年-05月-09日 12:32:45.176 INFO  [RMI TCP Connection(5)-192.168.160.1] o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at : http://WESSI:8005/
2022年-05月-09日 12:32:51.335 INFO  [RMI TCP Connection(7)-192.168.160.1] o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022年-05月-09日 12:32:51.336 INFO  [RMI TCP Connection(7)-192.168.160.1] o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022年-05月-09日 12:32:51.361 INFO  [RMI TCP Connection(7)-192.168.160.1] o.s.w.s.DispatcherServlet - Completed initialization in 25 ms
2022年-05月-09日 12:32:51.404 INFO  [RMI TCP Connection(5)-192.168.160.1] o.s.c.c.c.ConfigServicePropertySourceLocator - Located environment: name=provider-user, profiles=[dev], label=config, version=322cf6b68075679cb98d2284c908d02848c8ef6c, state=null
2022年-05月-09日 12:34:14.816 ERROR [http-nio-8081-exec-1] c.a.d.p.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, lastPacketReceivedIdleMillis : 93501
2022年-05月-09日 12:37:39.057 INFO  [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.a.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022年-05月-09日 12:42:39.070 INFO  [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.a.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022年-05月-09日 12:47:23.529 ERROR [http-nio-8081-exec-5] c.a.d.p.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, lastPacketReceivedIdleMillis : 771211
2022年-05月-09日 12:47:39.088 INFO  [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.a.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022年-05月-09日 12:50:15.521 ERROR [http-nio-8081-exec-9] c.a.d.p.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, lastPacketReceivedIdleMillis : 147996
2022年-05月-09日 12:52:39.109 INFO  [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.a.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022年-05月-09日 12:55:45.405 ERROR [http-nio-8081-exec-3] c.a.d.p.DruidAbstractDataSource - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, jdbcUrl : jdbc:mysql://localhost:3306/school_life?serverTimezone=GMT%2B8&&useUnicode=true&&characterEncoding=utf-8, lastPacketReceivedIdleMillis : 273504
2022年-05月-09日 12:57:07.219 ERROR [restartedMain] o.s.c.l.LoggingRebinder - Cannot set level: debu for 'net.mw'
2022年-05月-09日 12:57:07.223 INFO  [restartedMain] n.m.s.ProviderUserApplication - The following profiles are active: dev
2022年-05月-09日 12:57:11.790 WARN  [restartedMain] o.s.b.a.e.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2022年-05月-09日 12:57:12.086 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'dormitoryDao' and 'net.mw.springcloud.dao.DormitoryDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:57:12.087 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'dormitoryUserDao' and 'net.mw.springcloud.dao.DormitoryUserDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:57:12.088 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'noteDao' and 'net.mw.springcloud.dao.NoteDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:57:12.088 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'roleOtherDao' and 'net.mw.springcloud.dao.RoleOtherDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:57:12.089 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'vindicateDao' and 'net.mw.springcloud.dao.VindicateDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:57:12.090 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'actionPowerDao' and 'net.mw.springcloud.dao.ActionPowerDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:57:12.090 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'roleDao' and 'net.mw.springcloud.dao.RoleDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:57:12.090 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userDao' and 'net.mw.springcloud.dao.UserDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:57:12.091 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userRoleMapDao' and 'net.mw.springcloud.dao.UserRoleMapDao' mapperInterface. Bean already defined with the same name!
2022年-05月-09日 12:57:12.092 WARN  [restartedMain] o.m.s.m.ClassPathMapperScanner - No MyBatis mapper was found in '[net.mw.springcloud.dao]' package. Please check your configuration.
2022年-05月-09日 12:57:12.423 INFO  [restartedMain] o.s.c.c.s.GenericScope - BeanFactory id=3267e8e7-fd05-30be-819d-778889768df0
2022年-05月-09日 12:57:17.873 INFO  [restartedMain] o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2022年-05月-09日 12:57:17.938 INFO  [restartedMain] o.a.c.c.StandardService - Starting service [Tomcat]
2022年-05月-09日 12:57:17.940 INFO  [restartedMain] o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.31]
2022年-05月-09日 12:57:18.729 INFO  [restartedMain] o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2022年-05月-09日 12:57:18.729 INFO  [restartedMain] o.s.w.c.ContextLoader - Root WebApplicationContext: initialization completed in 11457 ms
2022年-05月-09日 12:57:19.526 WARN  [restartedMain] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2022年-05月-09日 12:57:19.527 INFO  [restartedMain] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022年-05月-09日 12:57:19.652 INFO  [restartedMain] c.n.c.DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@3449a709
2022年-05月-09日 12:57:23.972 INFO  [restartedMain] o.s.b.w.s.RegistrationBean - Filter jwtAuthenticationTokenFilter was not registered (disabled)
2022年-05月-09日 12:57:34.340 INFO  [restartedMain] o.s.s.w.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@42bf1262, org.springframework.security.web.context.SecurityContextPersistenceFilter@3d218935, org.springframework.security.web.header.HeaderWriterFilter@7e7573ad, org.springframework.security.web.authentication.logout.LogoutFilter@56d3eb85, net.mw.springcloud.config.jwt.JwtAuthenticationTokenFilter@5ce8d09b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@95d73f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@30f535e7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3fae7b1f, org.springframework.security.web.session.SessionManagementFilter@47acf8cb, org.springframework.security.web.access.ExceptionTranslationFilter@6a4d0163, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6e50fe70]
2022年-05月-09日 12:57:34.376 WARN  [restartedMain] c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2022年-05月-09日 12:57:34.377 INFO  [restartedMain] c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2022年-05月-09日 12:57:34.761 INFO  [restartedMain] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022年-05月-09日 12:57:35.889 WARN  [restartedMain] o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
2022年-05月-09日 12:57:39.186 INFO  [restartedMain] o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses Jersey
